Issuer Name,BSE Code,NSE Code,Sector Name,Industry Name,BSE/NSE Flag
Shri Dinesh Mills Ltd.,503804,,Consumer Discretionary,Textiles,N
SRF Ltd.,503806,,Commodities,Chemicals,N
Siyaram Silk Mills Ltd.,503811,,Consumer Discretionary,Textiles,N
Swadeshi Polytex Ltd.,503816,,Consumer Discretionary,Textiles,N
Shree Rajasthan Syntex Ltd.,503837,,Consumer Discretionary,Textiles,N
Shree Manufacturing Co. Ltd.,503863,,Consumer Discretionary,Textiles,N
Satyam Silk Mills Ltd,503893,,Financial Services,Financial Services,N
Bharat Bijlee Ltd.,503960,,Industrials,Capital Goods,N
Elpro International Ltd.,504000,,Consumer Discretionary,Realty,N
GEE Ltd.,504028,,Industrials,Capital Goods,N
Hind Rectifiers Ltd.,504036,,Industrials,Capital Goods,N
Indo National Limited,504058,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Zensar Technologies Ltd.,504067,,Information Technology,Information Technology,N
Jyoti Ltd.,504076,,Industrials,Capital Goods,N
JSL Industries Ltd.,504080,,Industrials,Capital Goods,N
Kaycee Industries Ltd.,504084,,Industrials,Capital Goods,N
Indokem Ltd,504092,,Commodities,Chemicals,N
Panasonic Energy India Co. Ltd.,504093,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Nelco Ltd,504112,,Information Technology,Information Technology,N
Permanent Magnets Ltd.,504132,,Industrials,Capital Goods,N
High Energy Batteries (India) Ltd.,504176,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Standard Batteries Ltd.,504180,,Financial Services,Financial Services,N
Universal Cables Ltd.,504212,,Industrials,Capital Goods,N
